user_genome,noelle_genomeid,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,noelle_placement,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
bin18-outputwebb5-contigs,bin18_st5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__,N/A,N/A,N/A,N/A,N/A,GCF_000814005.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria sp000814005,80.51,0.53,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,"GCF_000158135.1, s__Ruegeria sp000158135, 95.0, 81.15, 0.58; GCF_000813985.1, s__Ruegeria sp000813985, 95.0, 80.92, 0.58; GCF_001458295.1, s__Ruegeria denitrificans, 95.0, 80.79, 0.54; GCF_000743705.1, s__Ruegeria halocynthiae_B, 95.0, 80.68, 0.58; GCF_001238295.1, s__Ruegeria sp001238295, 95.0, 80.68, 0.53; GCF_900143525.1, s__Ruegeria sp900143525, 95.0, 80.54, 0.54; GCF_000192475.1, s__Ruegeria conchae, 95.0, 80.49, 0.53; GCF_900106805.1, s__Ruegeria halocynthiae, 95.0, 80.44, 0.56; GCF_001458195.1, s__Ruegeria atlantica, 95.0, 80.37, 0.54; GCF_900172215.1, s__Ruegeria meonggei, 95.0, 80.33, 0.53; GCF_000161775.1, s__Ruegeria lacuscaerulensis, 95.0, 80.2, 0.55; GCF_900185035.1, s__Ruegeria arenilitoris, 95.0, 80.05, 0.55; GCF_001507545.1, s__Ruegeria profundi, 95.0, 79.83, 0.49; GCF_001507595.1, s__Ruegeria marisrubri, 95.0, 79.61, 0.46",81.73,11,0.986531588,N/A
bin7-webb8c-1-contigs,Bin7_st11,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter_B;s__,N/A,N/A,N/A,N/A,N/A,GCF_001078595.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter_B;s__Rhodobacter_B lobularis,79.68,0.45,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter_B;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,"GCA_002701395.1, s__Rhodobacter_B sp002701395, 95.0, 77.54, 0.27",93.51,11,0.957124847,N/A
bin14-webb1c-1-contigs,Bin14_st2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__,N/A,N/A,N/A,N/A,N/A,GCF_003056725.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__Mangrovicoccus ximenensis,76.34,0.05,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,"GCF_003172915.1, s__Mangrovicoccus sp003172915, 95.0, 76.37, 0.07; GCF_003254465.1, s__Mangrovicoccus sp003254465, 95.0, 76.19, 0.07; GCF_002119405.1, s__Mangrovicoccus sp002119405, 95.0, 75.68, 0.06",86.67,11,0.928696802,N/A
bin15-webb5c-1-contigs,Bin15_st5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,N/A,90.63,11,0.777843642,N/A
bin17-outputwebb1-1-contigs,bin17_st2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,N/A,69.37,11,0.757403477,N/A
bin11-webb3c-1-contigs,bin11_st14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,"GCA_000714765.1, s__Erythrobacter sp000714765, 95.0, 79.25, 0.47; GCF_003264115.1, s__Erythrobacter sp003264115, 95.0, 79.25, 0.44; GCF_000152865.1, s__Erythrobacter sp000152865, 95.0, 79.08, 0.48; GCA_002706445.1, s__Erythrobacter sp002706445, 95.0, 79.01, 0.44; GCF_000715015.1, s__Erythrobacter longus, 95.0, 78.26, 0.37; GCF_001542875.1, s__Erythrobacter sp001542875, 95.0, 77.97, 0.29; GCF_900149685.1, s__Erythrobacter sp900149685, 95.0, 77.52, 0.25",96.69,11,0.988976401,N/A
bin6-webb8c-1-contigs,Bin6_st11,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__;g__;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,N/A,94.56,11,0.703895982,N/A
bin6-webb16c-1-contigs,Bin6_st16,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__UBA7985;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Alphaproteobacteria,Placement,taxonomic novelty determined using RED,N/A,95.85,11,0.790713299,N/A
bin7-outputwebb7-contigs,bin7_st7,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__UBA7985;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Alphaproteobacteria,Placement,taxonomic novelty determined using RED,N/A,88.12,11,0.774661516,N/A
bin16-outputwebb1-contigs,bin16_st2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2562;f__UBA2562;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Alphaproteobacteria,Placement,taxonomic novelty determined using RED,N/A,74.19,11,0.750956152,N/A
,bin1_st15,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin1_st16_1,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin1_st16_2,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin1_st18,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin2_st11,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin2_st14,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin2_st2,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin2_st5,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin2_st7,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin3_st17,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin6_st2,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin24_st5,,,,,,,,,,,,unclassified_bacteria,,,,,,,
,Bin6_st16_tuft,,,,,,,,,,,,Alphaproteobacteria,,,,,,,
,Bin9_st14,,,,,,,,,,,,Alphaproteobacteria,,,,,,,
,bin3_st18,,,,,,,,,,,,Trichodesmium,,,,,,,
,bin8_st4,,,,,,,,,,,,Trichodesmium,,,,,,,
